Nome,Artista,Genero,Tonalidade
#SELFIE - Original Mix;The Chainsmokers;pop, Dance/Electronic;C
#thatPOWER;will.i.am;hip hop, pop;F#
'Till I Collapse;Eminem;hip hop;C#
(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version;Sean Paul;hip hop, pop;Ab
...Ready For It?;Taylor Swift;pop;D
03' Bonnie & Clyde;JAY-Z;hip hop;A
1 Thing;Amerie;hip hop, pop, R&B;Bb
1, 2 Step (feat. Missy Elliott) - Main;Ciara;pop, R&B;F
1, 2, 3 (feat. Jason Derulo & De La Ghetto);Sofía Reyes;pop, latin;C#
17;MK;pop, Dance/Electronic;C
1955;Hilltop Hoods;hip hop, pop;B
1973;James Blunt;pop;A
2 On (feat. ScHoolboy Q);Tinashe;hip hop, pop, R&B, Dance/Electronic;A
2 Phones;Kevin Gates;hip hop, pop;G
2002;Anne-Marie;pop, Dance/Electronic;C#
21 Guns;Green Day;rock;F
21 Questions;50 Cent;hip hop, pop;F#
21 Seconds;So Solid Crew;Dance/Electronic;C#
212;Azealia Banks;hip hop, pop, R&B;B
22;Taylor Swift;pop;G
24K Magic;Bruno Mars;pop;C#
2U (feat. Justin Bieber);David Guetta;hip hop, pop, Dance/Electronic;Ab
3 Nights;Dominic Fike;rock, pop;G
3005;Childish Gambino;hip hop;F#
4 Minutes (feat. Justin Timberlake & Timbaland);Madonna;pop;D
4 My People (feat. Eve);Missy Elliott;hip hop, pop, R&B;C#
6 Foot 7 Foot;Lil Wayne;hip hop, pop;D
679 (feat. Remy Boyz);Fetty Wap;hip hop, pop;G
7 Days;Craig David;hip hop, pop, R&B;E
7 rings;Ariana Grande;pop;C#
7/11;Beyoncé;pop, R&B;A
A Little Less Conversation - JXL Radio Edit Remix;Elvis Presley;rock, easy listening;E
A Milli;Lil Wayne;hip hop, pop;F#
A Moment Like This;Leona Lewis;pop, R&B;Ab
A New Day Has Come - Radio Remix;Céline Dion;pop;F#
A Sky Full of Stars;Coldplay;rock, pop;F#
A Thousand Miles;Vanessa Carlton;Folk/Acoustic, pop;B
A Thousand Years;Christina Perri;pop;Bb
A Woman's Worth;Alicia Keys;pop, R&B;E
AM To PM;Christina Milian;hip hop, pop, R&B;Bb
About You Now;Sugababes;pop, R&B;C#
Acceptable in the 80's;Calvin Harris;hip hop, pop, Dance/Electronic;G
Adan y Eva;Paulo Londra;hip hop, latin, Dance/Electronic;C#
Addicted;Saving Abel;rock, metal;G
Addictive;Truth Hurts;pop, R&B;B
Adventure of a Lifetime;Coldplay;rock, pop;G
Again;Lenny Kravitz;rock, pop;D
Against All Odds (Take A Look at Me Now) (feat. Westlife);Mariah Carey;pop, R&B;C#
Ai Se Eu Te Pego - Live;Michel Teló;country, latin;B
Ain't It Funny;Jennifer Lopez;hip hop, pop, R&B;F
Ain't My Fault;Zara Larsson;pop, Dance/Electronic;F#
Ain't No Other Man;Christina Aguilera;pop;G
Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson);Felix Jaehn;hip hop, pop, Dance/Electronic;D
Air Force Ones;Nelly;hip hop, pop, R&B;E
Airplanes (feat. Hayley Williams of Paramore);B.o.B;hip hop, pop;F#
Alarm;Anne-Marie;pop, Dance/Electronic;C
Alejandro;Lady Gaga;pop;B
All About That Bass;Meghan Trainor;pop;A
All Day And Night;Jax Jones;hip hop, pop, Dance/Electronic;C#
All Eyes on You (feat. Chris Brown & Nicki Minaj);Meek Mill;hip hop, pop;B
All Falls Down;Kanye West;hip hop;Ab
All For You;Janet Jackson;pop, R&B;D
All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross);DJ Khaled;hip hop, pop;Bb
All I Ever Wanted - Radio Edit;Basshunter;pop;E
All I Have (feat. LL Cool J);Jennifer Lopez;hip hop, pop, R&B;C#
All I Want - Sunship Radio Edit;Mis-Teeq;pop, Dance/Electronic;A
All In My Head (Flex) (feat. Fetty Wap);Fifth Harmony;pop;C
All Night;The Vamps;pop;Ab
All Of The Lights;Kanye West;hip hop;C#
All Rise;Blue;pop;F
All The Right Moves;OneRepublic;pop;C
All The Small Things;blink-182;rock, pop;C
All The Stars (with SZA);Kendrick Lamar;hip hop;Ab
All The Things She Said;t.A.T.u.;pop;F
All Time Low;The Wanted;pop, Dance/Electronic;Ab
All Time Low;Jon Bellion;hip hop, pop;C
All You Wanted;Michelle Branch;pop, Folk/Acoustic;Ab
All of Me;John Legend;pop, R&B;Ab
Almost Here;Brian McFadden;set();A
Alone;Marshmello;pop, Dance/Electronic;D
Alors on danse - Radio Edit;Stromae;pop;C#
Already Gone;Kelly Clarkson;pop, R&B;A
